"replicate","time","NO2","dataset"
"0,25% 1",0,0,"Innoculation0025"
"0,25% 2",0,0,"Innoculation0025"
"0,25% 1",17,4.3892,"Innoculation0025"
"0,25% 2",17,4.3892,"Innoculation0025"
"0,25% 1",25,8,"Innoculation0025"
"0,25% 2",25,8,"Innoculation0025"
"0,25% 1",41,20,"Innoculation0025"
"0,25% 2",41,20,"Innoculation0025"
"0,25% 1",48,33.8348,"Innoculation0025"
"0,25% 2",48,40.4186,"Innoculation0025"
"0,25% 1",65.5,82.996,"Innoculation0025"
"0,25% 2",65.5,87.3452,"Innoculation0025"
"0,25% 1",74,105.508,"Innoculation0025"
"0,25% 2",74,114.2595,"Innoculation0025"
"0,25% 1",90.5,253.9118,"Innoculation0025"
"0,25% 2",90.5,251.8248,"Innoculation0025"
"0,25% 1",96,347.8416,"Innoculation0025"
"0,25% 2",96,347.8416,"Innoculation0025"
"0,25% 1",120.5,947.3492,"Innoculation0025"
"0,25% 2",120.5,1000.4948,"Innoculation0025"
"0,25% 1",142,1748.7272,"Innoculation0025"
"0,25% 2",142,1801.3016,"Innoculation0025"
"1% 1",0,0,"Innoculation0100"
"1% 2",0,0,"Innoculation0100"
"1% 1",17,8.7784,"Innoculation0100"
"1% 2",17,39.5028,"Innoculation0100"
"1% 1",25,8.0559,"Innoculation0100"
"1% 2",25,12.3854,"Innoculation0100"
"1% 1",41,63.5633,"Innoculation0100"
"1% 2",41,63.623,"Innoculation0100"
"1% 1",48,114.4004,"Innoculation0100"
"1% 2",48,123.2988,"Innoculation0100"
"1% 1",65.5,288.6992,"Innoculation0100"
"1% 2",65.5,304.3014,"Innoculation0100"
"1% 1",74,413.2407,"Innoculation0100"
"1% 2",74,430.6092,"Innoculation0100"
"1% 1",90.5,845.6132,"Innoculation0100"
"1% 2",90.5,886.8264,"Innoculation0100"
"1% 1",96,1057.568,"Innoculation0100"
"1% 2",96,1079.206,"Innoculation0100"
"2% 1",0,0,"Innoculation0200"
"2% 2",0,0,"Innoculation0200"
"2% 1",17,24.1406,"Innoculation0200"
"2% 2",17,-4.3892,"Innoculation0200"
"2% 1",25,37.646,"Innoculation0200"
