"replicate","time","NO2","transfer"
"NV1",0,3.248743,1
"NV2",0,3.248743,1
"NV3",0,3.248743,1
"NV4",0,3.248743,1
"NV5",0,3.248743,1
"NV6",0,3.248743,1
"NV7",0,3.248743,1
"NV8",0,3.248743,1
"NV9",0,3.248743,1
"NV10",0,3.248743,1
"NV11",0,3.248743,1
"NV12",0,3.248743,1
"NV13",0,3.248743,1
"NV14",0,3.248743,1
"NV15",0,3.248743,1
"NV1",49,31.4893,1
"NV2",49,30.38265,1
"NV3",49,25.95605,1
"NV4",49,25.95605,1
"NV5",49,30.38265,1
"NV6",49,23.74275,1
"NV7",49,31.4893,1
"NV8",49,30.38265,1
"NV9",49,30.38265,1
"NV10",49,32.59595,1
"NV11",49,32.59595,1
"NV12",49,32.59595,1
"NV13",49,33.7026,1
"NV14",49,30.38265,1
"NV15",49,28.16935,1
"NV1",67.5,74.1586,1
"NV2",67.5,80.824,1
"NV3",67.5,83.0458,1
"NV4",67.5,83.0458,1
"NV5",67.5,84.1567,1
"NV6",67.5,79.7131,1
"NV7",67.5,84.1567,1
"NV8",67.5,83.0458,1
"NV9",67.5,86.3785,1
"NV10",67.5,86.3785,1
"NV11",67.5,81.9349,1
"NV12",67.5,86.3785,1
"NV13",67.5,81.9349,1
"NV14",67.5,86.3785,1
"NV15",67.5,77.4913,1
"NV1",95,331.0662,1
"NV2",95,331.0662,1
"NV3",95,343.9986,1
"NV4",95,341.8432,1
"NV5",95,346.154,1
"NV6",95,322.4446,1
"NV7",95,337.5324,1
"NV8",95,341.8432,1
"NV9",95,361.2418,1
"NV10",95,346.154,1
"NV11",95,350.4648,1
"NV12",95,354.7756,1
"NV13",95,341.8432,1
"NV14",95,350.4648,1
"NV15",95,324.6,1
"NV1",120.5,992.1644,1
"NV2",120.5,979.184,1
"NV3",120.5,1065.72,1
"NV4",120.5,1026.7788,1
"NV5",120.5,1022.452,1
"NV6",120.5,1000.818,1
"NV7",120.5,1026.7788,1
"NV8",120.5,1048.4128,1
"NV9",120.5,1044.086,1
"NV10",120.5,1044.086,1
"NV11",120.5,1074.3736,1
"NV12",120.5,1070.0468,1
"NV13",120.5,1039.7592,1
"NV14",120.5,1048.4128,1
"NV15",120.5,983.5108,1
