Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein family LH,AOA conserved,AOA exclusive,Conserved,Conserved LH,Rank TPM
NMAR_RS02435,Nmar_0456,hypothetical protein,6.04,3.46E-194,226.6437984,6.04676063,7.79,2.544609907,76G-FAM028433,Thaumi_prot_LH_FAM006547,N,Y,NM,NM,168
NMAR_RS10005,0,hypothetical protein,4.29,0.008800731,2.369470781,0.255844847,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,NA,1798
NMAR_RS06465,Nmar_1201,hypothetical protein,4.13,1.31E-110,6628.645545,578.2232733,12.69,9.166004786,76G-FAM008115,Thaumi_prot_LH_FAM000095,N,Y,NM,NM,17
NMAR_RS02450,Nmar_0459,hypothetical protein,4.11,2.57E-25,26171.51797,2135.287802,14.63,10.95385725,76G-FAM008891,Thaumi_prot_LH_FAM000229,N,Y,NM,NM,5
NMAR_RS06690,Nmar_1246,hypothetical protein,3.62,5.77E-78,8056.60496,924.0402154,12.91,9.792168525,76G-FAM028481,Thaumi_prot_LH_FAM006598,N,Y,NM,NM,13
NMAR_RS09750,0,hypothetical protein,3.42,1.98E-17,59.66075956,8.136428865,5.79,2.862132617,#N/A,Thaumi_prot_LH_FAM002016,#N/A,#N/A,NA,NM,475
NMAR_RS05750,Nmar_1073,fibronectin type III domain-containing protein,3.31,2.25E-113,68.60808822,11.69406248,6.09,3.538507869,76G-FAM028459,Thaumi_prot_LH_FAM006573,N,Y,NM,NM,424
NMAR_RS05400,0,hypothetical protein,3.15,1.41E-57,428.6414532,69.8703102,8.71,6.040644405,#N/A,Thaumi_prot_LH_FAM006569,#N/A,#N/A,NA,NM,98
NMAR_RS04815,Nmar_0901,hypothetical protein,3.11,NA,16.62402833,2.016115269,4,#NUM!,76G-FAM008665,Thaumi_prot_LH_FAM001990,N,Y,NM,NM,1010
NMAR_RS02430,Nmar_0455,hypothetical protein,3.05,1.19E-99,231.2736438,40.59772733,7.77,5.320695001,76G-FAM008891,Thaumi_prot_LH_FAM000229,N,Y,NM,NM,165
NMAR_RS07215,Nmar_1347,hypothetical protein,2.96,4.62E-07,10.07196055,2.178251594,3.04,0.770964804,76G-FAM008929,Thaumi_prot_LH_FAM002100,N,Y,NM,NM,1294
NMAR_RS02025,Nmar_0377,hypothetical protein,2.92,1.32E-131,345.9449311,65.81292353,8.42,6.030127586,76G-FAM008746,Thaumi_prot_LH_FAM001871,N,Y,NM,NM,117
NMAR_RS07210,Nmar_1346,diaminobutyrate acetyltransferase,2.82,1.79E-12,14.42053249,3.104700317,3.7,1.285405401,76G-FAM008928,Thaumi_prot_LH_FAM002099,N,Y,NM,NM,1093
NMAR_RS09820,0,hypothetical protein,2.79,0.559875286,0.376159205,0,#NUM!,#NUM!,#N/A,Thaumi_prot_LH_FAM002107,#N/A,#N/A,NA,NM,1949
NMAR_RS00175,Nmar_0033,winged helix-turn-helix domain-containing protein,2.72,7.54E-66,7968.660599,1665.254298,12.93,10.67484474,76G-FAM001591_0,Thaumi_prot_LH_FAM000595,Y,N,NV+NF+NM,NV+NM,14
NMAR_RS01395,Nmar_R0011,tRNA-Lys,2.7,0.031589063,3.116474105,1.586445662,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,NA,1733
NMAR_RS00055,Nmar_0011,CDC48 family AAA ATPase,2.62,1.02E-85,399.7046182,91.40564535,8.6,6.499896118,76G-FAM000165_0,Thaumi_prot_LH_FAM000348_0,Y,N,NV+NF+NM,NV+NF+NM,105
NMAR_RS07235,Nmar_1351,hypothetical protein,2.57,4.30E-62,609.8383684,159.7203731,9.19,7.306371671,76G-FAM007651,Thaumi_prot_LH_FAM002101,N,Y,NV+NF+NM,NV+NM,70
NMAR_RS07610,Nmar_1423,hypothetical protein,2.56,1.67E-75,271.6705147,65.69108984,8.03,6.005822331,76G-FAM003537_0,Thaumi_prot_LH_FAM000040_0,Y,N,NV+NF+NM,NV+NF+NM,140
NMAR_RS09755,0,hypothetical protein,2.55,1.13E-36,238.9502001,57.7241605,7.89,5.830228408,#N/A,Thaumi_prot_LH_FAM001602,#N/A,#N/A,NA,NM,163
NMAR_RS05195,Nmar_0970,hypothetical protein,2.49,2.37E-59,131.479897,29.93702759,7.01,4.766925702,76G-FAM008394,Thaumi_prot_LH_FAM000069,N,Y,NM,NM,260
NMAR_RS00740,Nmar_0143,phosphopantetheine-binding protein,2.47,0.027687864,2.546840577,1.16637918,1.17,#NUM!,76G-FAM028425,Thaumi_prot_LH_FAM006539,N,Y,NM,NM,1778
NMAR_RS00070,Nmar_0013,transcription initiation factor TFIIB,2.44,1.00E-79,1348.648698,354.563525,10.36,8.458193488,76G-FAM000279_0,Thaumi_prot_LH_FAM000723_0,Y,N,NV+NF+NM,NV+NF+NM,44
NMAR_RS08040,Nmar_R0038,tRNA-Thr,2.44,4.74E-06,34.77948215,7.40257542,4.88,2.592247615,#N/A,#N/A,#N/A,#N/A,NA,NA,674
NMAR_RS07180,Nmar_1341,transcription factor TFIIB,2.43,3.50E-52,68.0416164,18.2906337,6.05,4.176090416,76G-FAM000279_0,Thaumi_prot_LH_FAM000723_0,Y,N,NV+NF+NM,NV+NF+NM,427
NMAR_RS01340,Nmar_R0010,tRNA-Ala,2.42,0.18867888,3.980171002,0.364883726,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,NA,1648
NMAR_RS06245,Nmar_1163,hypothetical protein,2.41,1.06E-60,2000.147901,556.682101,10.93,9.090228184,76G-FAM028467,Thaumi_prot_LH_FAM006581,N,Y,NM,NM,37
NMAR_RS04835,Nmar_0905,hypothetical protein,2.35,1.19E-33,75.57876246,22.64071328,6.19,4.48011239,76G-FAM028453,Thaumi_prot_LH_FAM001992,N,Y,NM,NM,398
NMAR_RS04055,0,DUF1059 domain-containing protein,2.35,2.51E-09,50.81155303,13.89994435,5.54,3.60165946,#N/A,Thaumi_prot_LH_FAM000922,#N/A,#N/A,NA,NV+NF+NM,531
NMAR_RS01260,Nmar_R0009,tRNA-Ser,2.34,3.41E-10,55.0931174,10.98282489,5.73,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,NA,502
NMAR_RS00050,Nmar_0010,archaeal heat shock protein Hsp20,2.34,2.70E-45,703.3261119,194.8790613,9.4,7.569856662,76G-FAM000963_0,Thaumi_prot_LH_FAM001046,Y,N,NV+NF+NM,NV+NF+NM,64
NMAR_RS07710,0,hypothetical protein,2.33,0.28103196,1.307880445,0.196010914,#NUM!,#NUM!,#N/A,Thaumi_prot_LH_FAM002105,#N/A,#N/A,NA,NM,1885
NMAR_RS01010,Nmar_R0006,tRNA-Val,2.31,0.452126419,4.879987606,1.212319073,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,NA,1588
NMAR_RS07840,Nmar_1464,hypothetical protein,2.3,2.01E-18,47.17677987,13.60682887,5.39,3.748031446,76G-FAM003537_0,Thaumi_prot_LH_FAM000040_0,Y,N,NV+NF+NM,NV+NF+NM,552
NMAR_RS07325,Nmar_1365,hypothetical protein,2.26,8.38E-13,12.75782236,3.841780745,3.6,1.843064286,76G-FAM007465,Thaumi_prot_LH_FAM002106,N,Y,NV+NM,NV+NM,1170
NMAR_RS03920,Nmar_0731,hypothetical protein,2.25,4.59E-37,152.7621161,45.95720215,7.2,5.508987917,76G-FAM008686,Thaumi_prot_LH_FAM000730,N,Y,NM,NM,226
NMAR_RS09285,NMAR_3,tRNA-Arg,2.25,0.153767471,9.736461348,6.284649955,3.22,2.167254561,#N/A,#N/A,#N/A,#N/A,NA,NA,1315
NMAR_RS00180,Nmar_0034,TrmB family transcriptional regulator,2.21,3.17E-34,2357.323183,740.9180967,11.15,9.494440073,76G-FAM008171,Thaumi_prot_LH_FAM001074,N,Y,NM,NM,35
NMAR_RS04615,Nmar_0864,hypothetical protein,2.18,3.56E-35,201.9996106,63.54000985,7.64,5.95678308,76G-FAM008904,Thaumi_prot_LH_FAM001971,N,Y,NM,NM,189
NMAR_RS07130,Nmar_1333,hypothetical protein,2.17,4.60E-05,8.430383529,2.526848296,2.98,0.991618806,76G-FAM008924,Thaumi_prot_LH_FAM006603,N,Y,NM,NM,1379
NMAR_RS07245,Nmar_1353,hemerythrin domain-containing protein,2.15,1.42E-43,469.3734793,153.8257973,8.81,7.239448487,76G-FAM007537,Thaumi_prot_LH_FAM001069,Y,Y,NV+NF+NM,NV+NF+NM,86
NMAR_RS00975,Nmar_R0005,tRNA-Lys,2.12,7.18E-06,45.23924153,15.32396455,5.46,3.783750949,#N/A,#N/A,#N/A,#N/A,NA,NA,568
NMAR_RS09635,Nmar_0297,hypothetical protein,2.12,1.48E-06,54.95135857,20.13169491,5.59,4.143349236,76G-FAM008191,Thaumi_prot_LH_FAM001852,N,Y,NM,NM,503
NMAR_RS01695,Nmar_R0015,tRNA-Leu,2.1,1.26E-05,15.234937,2.324148639,3.65,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,NA,1063
