Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein family LH,AOA conserved,AOA exclusive,Conserved,Conserved_LH,Rank TPM
NVIE_019250,NVIE_RS09330,Multicopper oxidase type 3,7.45,0,5452.54,38.56,12.39,5.23,76G-FAM003386,Thaumi_prot_LH_FAM000878,N,N,NV+NF+NM,NV+NF+NM,20
NVIE_010050,NVIE_RS04885,protein of unknown function,6.4,0.00E+00,785.43,11.43,9.61,3.48,76G-FAM010209,Thaumi_prot_LH_FAM003611,N,Y,NV,NV,165
NVIE_003900,NVIE_RS01890,heat-shock protein Hsp20,6.21,1.12E-24,383.29,6.36,8.07,2.66,76G-FAM008780,Thaumi_prot_LH_FAM002176,N,Y,NV+NF,NV+NF,389
NVIE_019730,NVIE_RS09505,protein of unknown function,6.09,1.61E-71,575.35,10.32,9.12,3.25,76G-FAM009719,Thaumi_prot_LH_FAM003752,N,Y,NV,NV,242
NVIE_000940,NVIE_RS00460,cell surface protein with DUF11 domain,5.88,2.17E-287,2255.24,47.01,11.12,5.53,76G-FAM009988,Thaumi_prot_LH_FAM003474,N,Y,NV,NV,42
NVIE_019740,NVIE_RS15475,protein of unknown function,5.82,6.07E-66,946.01,20.38,9.84,4.23,#N/A,Thaumi_prot_LH_FAM003559,#N/A,#N/A,NA,NV,122
NVIE_1444,#N/A,hypothetical protein,5.55,5.10E-22,810.55,21.47,9.61,4.02,#N/A,#N/A,#N/A,#N/A,NA,#N/A,155
NVIE_001020,NVIE_RS00500,putative cell wall surface anchor family protein,5.22,0.00E+00,805.87,26.75,9.64,4.73,76G-FAM009994,Thaumi_prot_LH_FAM003479,N,Y,NV,NV,158
NVIE_003890,NVIE_RS01885,protein of unknown function,5.02,3.10E-16,102.63,3.91,6.21,1.92,76G-FAM035157,Thaumi_prot_LH_FAM008451,N,Y,NV,NV,1240
NVIE_001000,NVIE_RS00490,"putative surface-associated Ca2+-binding protein, Haemolysin-type",4.98,1.37E-168,1271.31,49.75,10.29,5.6,76G-FAM009992,Thaumi_prot_LH_FAM003477,N,Y,NV,NV,85
NVIE_003910,NVIE_RS01895,putative cupredoxin,4.97,1.62E-17,747.98,29.17,9.08,4.87,76G-FAM010409,Thaumi_prot_LH_FAM003534,N,Y,NV+NF,NV+NF,177
NVIE_1457,NVIE_RS06950,exported protein of unknown function,4.94,3.76E-16,6133.46,247.86,12.52,7.55,76G-FAM010304,Thaumi_prot_LH_FAM003660,N,Y,NV+NF,NV+NF,18
