Geneid	Chr	Start	End	Strand	Length	BF1	BF2	BF3	BF4	BF5	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5
NFRAN_RS00005	NZ_LR216287.1	14	2981	-	2968	141	101	107	172	92	89	66	90	97	69
NFRAN_RS00010	NZ_LR216287.1	3918	5386	-	1469	745	7169	1449	370	325	186	310	468	759	292
NFRAN_RS00015	NZ_LR216287.1	6502	9210	+	2709	9304	14254	9774	8316	9127	10791	8650	9075	11027	10857
NFRAN_RS00020	NZ_LR216287.1	9258	10250	+	993	2358	2315	2546	2081	2542	2575	2149	2428	2618	3276
NFRAN_RS00025	NZ_LR216287.1	10269	12257	-	1989	4174	3814	3996	3589	4970	6559	5369	5809	7209	7638
NFRAN_RS00030	NZ_LR216287.1	12361	12726	+	366	49	77	123	152	60	76	118	102	136	162
NFRAN_RS00035	NZ_LR216287.1	12716	13525	-	810	1179	1221	1055	1199	1100	1599	1350	1247	1630	1871
NFRAN_RS00040	NZ_LR216287.1	13566	14384	-	819	4340	4200	4074	3657	4985	5953	5175	5281	6167	7289
NFRAN_RS00045	NZ_LR216287.1	14409	15611	-	1203	8156	7966	9333	7587	8376	9908	7859	8696	11230	12025
NFRAN_RS00050	NZ_LR216287.1	15687	16538	-	852	8829	5469	10848	10441	8263	8250	6091	6222	7314	9222
NFRAN_RS00055	NZ_LR216287.1	16580	16999	-	420	9244	7826	11194	8428	6221	6137	4436	5750	6095	6914
NFRAN_RS00060	NZ_LR216287.1	17137	18780	+	1644	10041	10580	7168	7079	8700	11918	10633	11929	16672	14769
NFRAN_RS00065	NZ_LR216287.1	18793	19797	-	1005	4620	5725	5773	5261	6699	7903	6955	7835	8322	9799
NFRAN_RS00070	NZ_LR216287.1	19864	20775	-	912	1603	1809	1398	1565	2421	3221	2501	2725	3289	3997
NFRAN_RS00075	NZ_LR216287.1	20864	21151	+	288	16408	14009	17350	16099	15478	22542	19443	19026	25923	24017
NFRAN_RS00080	NZ_LR216287.1	21304	22497	-	1194	56764	59614	65493	63861	52754	69654	63791	58029	65262	74708
NFRAN_RS00085	NZ_LR216287.1	22666	23751	+	1086	1930	2254	1725	2408	2975	3401	3786	3755	3479	4843
NFRAN_RS00090	NZ_LR216287.1	23771	24406	+	636	18582	23164	15246	18535	22399	29352	30867	29466	30720	41234
NFRAN_RS00095	NZ_LR216287.1	24430	25506	-	1077	4052	3405	4199	5253	5430	5262	4396	5068	5814	7252
NFRAN_RS00100	NZ_LR216287.1	25532	27190	-	1659	22407	26285	27659	27007	27445	20676	17783	19126	20178	27142
NFRAN_RS00105	NZ_LR216287.1	27240	27866	-	627	1871	2311	1997	1821	2484	2003	1889	2104	2721	2970
NFRAN_RS00110	NZ_LR216287.1	27943	28974	+	1032	5923	9107	9302	6759	10501	11435	10869	10580	12929	15098
NFRAN_RS00115	NZ_LR216287.1	29229	30704	-	1476	6999	7880	8275	8521	7812	8778	8434	7386	10261	10534
NFRAN_RS00120	NZ_LR216287.1	30870	31079	-	210	679	939	788	959	1172	1174	1012	1168	1499	1882
NFRAN_RS00125	NZ_LR216287.1	31152	33746	-	2595	35309	22859	36517	30689	27416	28582	23555	26411	34217	33906
NFRAN_RS00130	NZ_LR216287.1	33784	34812	-	1029	11679	7524	13777	11754	10953	10772	8809	8981	11336	12320
NFRAN_RS00135	NZ_LR216287.1	34914	34988	+	75	46	50	72	58	57	40	49	76	62	126
NFRAN_RS00140	NZ_LR216287.1	35263	35583	+	321	73	117	124	117	71	54	71	52	62	139
