Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein Family LH,AOA conserved,AOA exclusive,"Conserved NV,NF,NM",Conserved in Soil Strains
NFRAN_RS00005,NFRAN_RRNA1,23S ribosomal RNA,0.89,2.42E-03,1.17,0.93,0.17,-0.14,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS00010,NFRAN_RRNA2,16S ribosomal RNA,2.65,5.94E-03,34.89,9.03,4.23,3.02,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS00015,NFRAN_0007,DNA-directed DNA polymerase I,0.34,4.16E-02,103.94,122.97,6.68,6.94,76G-FAM000952,Thaumi_prot_LH_FAM000630,N,N,,
NFRAN_RS00020,NFRAN_0008,arginase family protein,0.19,7.90E-02,67.03,86.21,6.06,6.43,76G-FAM009820,Thaumi_prot_LH_FAM003242,N,Y,,
NFRAN_RS00025,NFRAN_0009,threonine--tRNA ligase,-0.34,3.42E-03,58.42,107.6,5.84,6.75,76G-FAM000266,Thaumi_prot_LH_FAM000148,N,N,,
NFRAN_RS00030,NFRAN_0010,hypothetical protein,-0.04,9.24E-01,6.95,10.54,2.69,3.38,76G-FAM007900,Thaumi_prot_LH_FAM002897,N,Y,,
NFRAN_RS00035,NFRAN_0011,hypothetical protein,-0.08,5.31E-01,40,62.34,5.31,5.96,76G-FAM010873,Thaumi_prot_LH_FAM002894,N,Y,,
NFRAN_RS00040,NFRAN_0012,tryptophan synthase subunit alpha,-0.16,1.78E-01,146.56,239.52,7.17,7.9,76G-FAM001727,Thaumi_prot_LH_FAM000686,Y,N,,
NFRAN_RS00045,NFRAN_0013,tryptophan synthase subunit beta,0.07,5.31E-01,193.15,270.54,7.59,8.08,76G-FAM001728,Thaumi_prot_LH_FAM000687,Y,N,,
NFRAN_RS00050,NFRAN_0014,indole-3-glycerol-phosphate synthase,0.57,6.48E-04,290.79,285.83,8.13,8.15,76G-FAM000926,Thaumi_prot_LH_FAM000688,Y,N,,
NFRAN_RS00055,NFRAN_0015,hypothetical protein,0.88,3.22E-08,570.79,459.69,9.13,8.84,76G-FAM010114,Thaumi_prot_LH_FAM002891,N,Y,,
NFRAN_RS00060,NFRAN_0016,CTP synthase (glutamine hydrolyzing),-0.25,1.41E-01,149.44,262.77,7.19,8.03,76G-FAM000333,Thaumi_prot_LH_FAM000685,Y,N,,
NFRAN_RS00065,NFRAN_0017,NAD(+)/NADH kinase,-0.22,3.09E-02,156.57,267.34,7.28,8.06,76G-FAM000985,Thaumi_prot_LH_FAM000684,N,Y,,
NFRAN_RS00070,NFRAN_0018,PfkB family carbohydrate kinase,-0.51,4.51E-04,54.62,112.84,5.73,6.81,76G-FAM002517,Thaumi_prot_LH_FAM000683,N,N,,
NFRAN_RS00075,NFRAN_0019,30S ribosomal protein S26e,-0.16,1.91E-01,1552.24,2538.75,10.59,11.3,76G-FAM000152,Thaumi_prot_LH_FAM000755,Y,N,,
NFRAN_RS00080,NFRAN_0020,CDP-alcohol phosphatidyltransferase family protein,0.17,1.54E-01,1399.26,1837.62,10.44,10.84,76G-FAM010874,Thaumi_prot_LH_FAM004457,N,Y,,
NFRAN_RS00085,NFRAN_0021,NAD(P)-binding domain-containing protein,-0.45,2.49E-03,58.88,117.01,5.84,6.86,76G-FAM009244,Thaumi_prot_LH_FAM002342,N,Y,,
NFRAN_RS00090,NFRAN_0022,PIG-L family deacetylase,-0.39,3.72E-03,867.17,1670.58,9.73,10.7,76G-FAM010875,Thaumi_prot_LH_FAM004458,N,Y,,
NFRAN_RS00095,NFRAN_0023,ATP-grasp domain-containing protein,0.02,9.22E-01,117.74,168.52,6.84,7.39,76G-FAM003589,Thaumi_prot_LH_FAM001680,N,N,,
NFRAN_RS00100,NFRAN_0024,bacillithiol biosynthesis BshC,0.65,8.08E-17,441.44,414.62,8.78,8.69,76G-FAM010876,Thaumi_prot_LH_FAM002855,N,Y,,
NFRAN_RS00105,NFRAN_0025,PHP domain-containing protein,0.18,1.65E-01,93.83,121.5,6.54,6.92,76G-FAM010877,Thaumi_prot_LH_FAM002853,N,Y,,
NFRAN_RS00110,NFRAN_0026,ATP-grasp domain-containing protein,-0.23,1.13E-01,224.26,386.93,7.78,8.6,76G-FAM010878,Thaumi_prot_LH_FAM002852,N,Y,,
NFRAN_RS00115,NFRAN_0027,glycosyltransferase,0.13,1.95E-01,149.88,202.03,7.22,7.66,76G-FAM009246,Thaumi_prot_LH_FAM004459,N,Y,,
NFRAN_RS00120,NFRAN_0028,hypothetical protein,-0.23,1.33E-01,121.49,207.68,6.89,7.69,76G-FAM002117,Thaumi_prot_LH_FAM000151,Y,N,,
