Geneid	Chr	Start	End	Strand	Length	BF1	BF2	BF3	BF4	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5
NMAR_RS00005	NC_010085.1	146	1348	+	1203	3243	3515	2650	2870	3637	3893	38027	2820	3005
NMAR_RS00010	NC_010085.1	1325	2770	-	1446	368	445	435	336	358	507	4478	329	316
NMAR_RS00015	NC_010085.1	2845	3387	+	543	122	90	124	111	116	169	1247	96	94
NMAR_RS00020	NC_010085.1	3463	4359	+	897	1098	847	901	1019	1506	1948	16856	1855	1423
NMAR_RS00025	NC_010085.1	4356	5072	-	717	24	156	52	62	138	154	1177	70	98
NMAR_RS00030	NC_010085.1	5075	5566	-	492	0	2	0	4	6	20	120	8	7
NMAR_RS00035	NC_010085.1	5681	7168	+	1488	698	776	642	499	1241	1339	12358	1034	925
NMAR_RS00040	NC_010085.1	7169	8524	-	1356	436	698	577	486	365	404	3946	252	289
NMAR_RS00045	NC_010085.1	8594	9259	-	666	2094	2711	2205	1993	1062	1371	12773	883	986
NMAR_RS00050	NC_010085.1	9364	9861	+	498	5060	6808	6599	4512	1699	1764	13351	681	1283
NMAR_RS00055	NC_010085.1	9889	12030	+	2142	13362	15762	15528	11585	2576	3401	24515	2053	2923
NMAR_RS00060	NC_010085.1	12060	12278	+	219	322	416	532	442	175	162	2407	102	170
NMAR_RS00065	NC_010085.1	12391	12783	+	393	300	261	260	213	211	164	2111	119	204
NMAR_RS00070	NC_010085.1	12800	13720	-	921	19755	22038	20543	19334	4341	4788	41990	4138	4480
NMAR_RS00075	NC_010085.1	13897	14085	-	189	48	58	36	27	146	128	622	27	75
NMAR_RS00080	NC_010085.1	14212	14592	+	381	16	15	10	4	23	42	334	19	13
NMAR_RS00085	NC_010085.1	14599	14826	+	228	8	16	19	19	48	32	182	44	43
NMAR_RS00090	NC_010085.1	14827	15099	-	273	41	52	46	43	97	121	684	86	89
NMAR_RS00095	NC_010085.1	15196	15423	-	228	0	8	8	12	12	16	116	14	15
NMAR_RS00100	NC_010085.1	15531	15830	+	300	8	57	44	23	40	50	414	26	26
NMAR_RS00105	NC_010085.1	15827	16771	-	945	99	179	106	135	195	155	1992	146	171
NMAR_RS00110	NC_010085.1	16889	17794	+	906	947	1131	863	691	1004	1082	9943	672	892
NMAR_RS00115	NC_010085.1	17795	19225	-	1431	388	397	410	387	496	630	5631	491	411
NMAR_RS00120	NC_010085.1	19365	19907	+	543	42	24	11	6	30	28	320	42	43
NMAR_RS00125	NC_010085.1	19944	20459	+	516	1753	2347	2036	1580	1939	2024	14726	1009	1462
NMAR_RS00130	NC_010085.1	20451	21266	-	816	77	253	83	153	145	130	1554	98	136
NMAR_RS00135	NC_010085.1	21275	21481	-	207	18	75	24	11	53	63	509	36	72
NMAR_RS00140	NC_010085.1	21522	22265	-	744	408	150	124	185	271	251	2051	197	201
NMAR_RS00145	NC_010085.1	22532	22960	-	429	98	22	47	48	75	93	705	73	78
NMAR_RS00150	NC_010085.1	22998	23549	-	552	0	2	0	0	26	20	82	12	15
NMAR_RS00155	NC_010085.1	23675	24322	+	648	869	1045	1072	663	2616	2707	27248	1652	1849
NMAR_RS09905	NC_010085.1	24466	25470	+	1005	1038	1222	1148	842	710	767	6755	533	673
NMAR_RS00165	NC_010085.1	25473	25946	-	474	302	372	458	288	530	494	4269	310	331
NMAR_RS00170	NC_010085.1	26047	26688	-	642	3796	3683	4652	4418	1929	2364	10212	826	1630
NMAR_RS00175	NC_010085.1	27005	27292	+	288	36207	41027	47888	40833	7909	9803	73199	4526	8153
NMAR_RS00180	NC_010085.1	27296	28303	+	1008	33464	37943	38609	39051	10818	12275	75328	5957	11582
NMAR_RS00185	NC_010085.1	28300	28650	+	351	3320	3857	3297	3847	1124	1279	11200	892	1170
NMAR_RS00190	NC_010085.1	28710	28904	+	195	31	39	64	44	19	21	228	6	8
NMAR_RS00195	NC_010085.1	28946	29659	+	714	279	428	285	239	307	311	2563	126	240
NMAR_RS00200	NC_010085.1	29723	30280	+	558	1280	1457	1722	1219	2739	2961	23754	2012	2498
NMAR_RS00205	NC_010085.1	30321	30575	+	255	990	1441	1013	870	1153	1529	12313	901	1144
NMAR_RS00210	NC_010085.1	30578	31252	-	675	340	214	243	224	339	274	2979	266	276
NMAR_RS00215	NC_010085.1	31256	32179	-	924	759	1140	808	670	1035	920	8611	622	933
NMAR_RS00220	NC_010085.1	32179	32937	-	759	179	264	163	110	335	409	2930	199	265
NMAR_RS00225	NC_010085.1	33105	34121	+	1017	317	384	321	312	360	330	4077	360	263
NMAR_RS00230	NC_010085.1	34156	34950	+	795	124	106	127	71	150	160	1076	95	117
NMAR_RS00235	NC_010085.1	34958	35362	-	405	161	116	145	95	242	146	1406	121	172
NMAR_RS00240	NC_010085.1	35374	35685	-	312	79	90	54	36	132	78	1042	97	76
NMAR_RS00245	NC_010085.1	35839	37074	-	1236	173	185	188	125	228	216	2911	200	215
NMAR_RS00250	NC_010085.1	37114	38220	-	1107	56	70	29	23	36	92	896	43	35
NMAR_RS00255	NC_010085.1	38305	39030	+	726	592	858	677	615	715	835	6625	463	607
NMAR_RS00260	NC_010085.1	39032	40174	+	1143	1967	2411	1827	1735	2073	2073	23175	1928	2003
NMAR_RS00265	NC_010085.1	40206	40871	+	666	857	896	851	745	852	1232	9668	630	727
NMAR_RS00270	NC_010085.1	40855	41505	-	651	80	96	62	47	111	84	897	68	108
NMAR_RS00275	NC_010085.1	41561	42715	+	1155	115	200	152	145	276	256	3059	182	223
