Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein Family LH,AOA conserved,AOA exclusive,"Conserved NV,NF,NM",Conserved in Soil Strains,up in:,,,,,,,baseMean,lfcSE,stat,pvalue
NVIE_000020,NVIE_RS00005,conserved protein of unknown function,0.15,1.68E-01,191.04,212.02,7.57,7.73,76G-FAM009971,Thaumi_prot_LH_FAM003048,N,Y,,,,,,,,,,3358.266485,0.092083876,1.596235983,0.110436117
NVIE_000030,NVIE_RS00010,Putative nitroreductase family protein,-0.54,2.57E-06,57.96,103.22,5.85,6.69,76G-FAM009559,Thaumi_prot_LH_FAM001600,N,Y,,,,,,,,,,1999.117775,0.107657803,-5.007954818,5.50E-07
NVIE_000040,NVIE_RS00015,protein of unknown function,-0.41,3.80E-03,46.28,75.14,5.52,6.23,76G-FAM010101,Thaumi_prot_LH_FAM003470,N,Y,,,,,,,,,,999.9027981,0.12820091,-3.167192423,0.001539184
NVIE_000050,NVIE_RS00020,putative hydroxymethylglutaryl-CoA synthase,0.55,1.17E-11,1267.81,1061.69,10.31,10.05,76G-FAM003641,Thaumi_prot_LH_FAM000538,Y,N,,,,,,,,,,70272.67582,0.077380679,7.111415539,1.15E-12
NVIE_000060,NVIE_RS00025,threonine ammonia-lyase,-0.48,3.92E-04,142.51,244.06,7.14,7.92,76G-FAM001036,Thaumi_prot_LH_FAM000455,N,N,,,,,,,,,,9962.837104,0.12553918,-3.830555661,0.000127854
NVIE_000070,NVIE_RS00030,conserved protein of unknown function,-0.25,2.73E-02,168.21,246,7.38,7.94,76G-FAM011492,Thaumi_prot_LH_FAM002909,N,Y,,,,,,,,,,4096.792339,0.103743957,-2.457811809,0.01397864
NVIE_000080,NVIE_RS00035,putative protein of unknown function DUF2024,-1,1.23E-12,411.15,1003.19,8.66,9.97,76G-FAM007422,Thaumi_prot_LH_FAM000535,Y,Y,,,,,,,,,,8424.923607,0.134000677,-7.428837329,1.10E-13
NVIE_000090,NVIE_RS00040,putative hydroxyacylglutathione hydrolase,-0.57,5.80E-06,196.18,357.99,7.61,8.48,76G-FAM000951,Thaumi_prot_LH_FAM000888,N,N,,,,,,,,,,8740.378357,0.118750549,-4.834856411,1.33E-06
NVIE_000100,NVIE_RS00045,putative thioredoxin,-0.38,6.55E-05,157.82,251.74,7.3,7.97,76G-FAM007584,Thaumi_prot_LH_FAM001729,N,Y,,,,,,,,,,12817.01404,0.087920483,-4.286944427,1.81E-05
NVIE_000110,NVIE_RS00050,nitroreductase-like protein,1.06,4.59E-07,180.3,106.88,7.43,6.73,76G-FAM000660_0,Thaumi_prot_LH_FAM001931,N,N,,,,,,,,,,3962.040046,0.197738196,5.351668691,8.71E-08
NVIE_000120,NVIE_RS00055,putative protein of unknown function DUF432,-0.09,5.29E-01,123,160.77,6.93,7.33,76G-FAM009973,Thaumi_prot_LH_FAM003046,N,Y,,,,,,,,,,4917.486203,0.117382233,-0.784003027,0.433038334
NVIE_000130,NVIE_RS00060,putative CorA ion transporter,-0.39,2.63E-03,102.28,164.2,6.67,7.35,76G-FAM003683,Thaumi_prot_LH_FAM000907,N,N,,,,,,,,,,5155.214021,0.118735696,-3.284996857,0.001019835
NVIE_000140,NVIE_RS00065,putative mechanosensitive ion channel MscS,0.03,9.04E-01,242.95,294.77,7.9,8.18,76G-FAM006044,Thaumi_prot_LH_FAM002008,N,Y,,,,,,,,,,10762.18366,0.156544835,0.169410434,0.865473817
NVIE_000150,NVIE_RS00070,major facilitator superfamily MFS-1,0,9.84E-01,74.9,92.9,6.19,6.51,76G-FAM000662,Thaumi_prot_LH_FAM003045,N,Y,,,,,,,,,,4153.563058,0.179340947,-0.024691759,0.980300828
NVIE_000160,NVIE_RS00075,hypothetical protein,-0.52,1.36E-05,132.67,233.53,7.04,7.86,76G-FAM008355,Thaumi_prot_LH_FAM000453,N,Y,,,,,,,,,,6509.128206,0.112666955,-4.65213204,3.29E-06
NVIE_000170,NVIE_RS00080,protein of unknown function,0.15,3.83E-01,17.09,18.92,4.08,4.23,76G-FAM035129,Thaumi_prot_LH_FAM008419,N,Y,,,,,,,,,,513.1234338,0.139736194,1.052017839,0.292791365
NVIE_000190,NVIE_RS00090,putative adenylate/guanylate cyclase,0.19,3.68E-02,166.79,179.02,7.38,7.48,76G-FAM007408,Thaumi_prot_LH_FAM000452,N,Y,,,,,,,,,,6078.287073,0.082175207,2.334774944,0.019555181
NVIE_000200,NVIE_RS00095,30S ribosomal protein S9p,-0.6,6.16E-05,352.25,651.05,8.43,9.33,76G-FAM000440,Thaumi_prot_LH_FAM000825,Y,N,,,,,,,,,,9633.702442,0.139102085,-4.302212495,1.69E-05
NVIE_0022,NVIE_RS00100,50S ribosomal protein L13p,-0.46,9.04E-05,251.86,423.77,7.96,8.72,76G-FAM000465,Thaumi_prot_LH_FAM000826,Y,N,,,,,,,,,,6499.134186,0.109856255,-4.208491199,2.57E-05
NVIE_000210,NVIE_RS00105,50S ribosomal protein L18e,-0.51,1.27E-06,517.24,898.12,9,9.81,76G-FAM000441,Thaumi_prot_LH_FAM000827,Y,N,,,,,,,,,,10196.90619,0.098728783,-5.15033109,2.60E-07
NVIE_000220,NVIE_RS00110,"DNA-directed RNA polymerase, subunit D",-0.29,2.00E-02,646.78,974.1,9.33,9.92,76G-FAM000442,Thaumi_prot_LH_FAM000854,Y,N,,,,,,,,,,22041.75642,0.112099307,-2.581599925,0.009834352
NVIE_000230,NVIE_RS00115,putative ribosome maturation protein SDO1,0.36,1.09E-05,186.52,177.4,7.54,7.47,76G-FAM000512,Thaumi_prot_LH_FAM000853,Y,N,,,,,,,,,,5313.851635,0.077393664,4.699424477,2.61E-06
NVIE_000240,NVIE_RS00120,exosome complex RNA-binding protein,-0.44,3.63E-03,482.62,806.62,8.9,9.65,76G-FAM000511,Thaumi_prot_LH_FAM000852,N,N,,,,,,,,,,18339.86737,0.139831689,-3.182329379,0.001460956
NVIE_000250,NVIE_RS00125,putative exosome complex exonuclease,-0.06,8.11E-01,762.64,978.51,9.53,9.92,76G-FAM000533,Thaumi_prot_LH_FAM000851,Y,N,,,,,,,,,,26956.32117,0.175944313,-0.323138194,0.746590586
NVIE_000260,NVIE_RS00130,putative exosome complex exonuclease,-0.48,2.25E-05,643.26,1100.86,9.32,10.1,76G-FAM000510,Thaumi_prot_LH_FAM000850,Y,N,,,,,,,,,,29559.97085,0.105565697,-4.536282655,5.73E-06
NVIE_000270,NVIE_RS00135,50S ribosomal protein L37ae,-0.32,1.50E-01,585.61,900.39,9.14,9.76,76G-FAM000509,Thaumi_prot_LH_FAM000849,N,N,,,,,,,,,,6325.878434,0.193362483,-1.662669152,0.09637868
NVIE_0030,NVIE_RS00140,protein of unknown function,-0.93,2.68E-14,162.97,377.61,7.32,8.56,76G-FAM000508,Thaumi_prot_LH_FAM001272,N,Y,,,,,,,,,,2726.520041,0.117028525,-7.941072869,2.00E-15
NVIE_000290,NVIE_RS00145,"prefoldin, subunit beta",-0.48,1.43E-05,259.45,442.85,8,8.78,76G-FAM000507,Thaumi_prot_LH_FAM000006,Y,N,,,,,,,,,,4494.999828,0.103853043,-4.640167557,3.48E-06
NVIE_000300,NVIE_RS00150,putative DNA repair nuclease XPF,-0.32,9.86E-03,133.59,204.65,7.06,7.67,76G-FAM002011,Thaumi_prot_LH_FAM000008,N,N,,,,,,,,,,5085.556526,0.111435832,-2.843143965,0.004467089
NVIE_000310,NVIE_RS00155,putative Rhodanese-related sulfurtransferase,-0.56,4.03E-07,101.45,183.59,6.66,7.51,76G-FAM001528_0,Thaumi_prot_LH_FAM000233_0,Y,N,,,,,,,,,,4503.495644,0.103634524,-5.375539072,7.64E-08
NVIE_000320,NVIE_RS00160,putative nucleotide binding protein,-0.26,8.49E-02,90.91,133.87,6.49,7.06,76G-FAM000744,Thaumi_prot_LH_FAM000009,N,N,,,,,,,,,,2395.207296,0.133986412,-1.957964582,0.050234169
NVIE_000330,NVIE_RS00165,putative inorganic polyphosphate/ATP-NAD kinase,-0.29,2.06E-02,141.38,213.24,7.14,7.72,76G-FAM002988,Thaumi_prot_LH_FAM000746,Y,N,,,,,,,,,,6155.267966,0.113820933,-2.569237661,0.010192253
NVIE_000340,NVIE_RS00170,thiosulfate sulfurtransferase,-0.11,2.96E-01,356.67,472.89,8.48,8.88,76G-FAM001528_0,Thaumi_prot_LH_FAM000233_0,Y,N,,,,,,,,,,15915.43257,0.087123928,-1.242706041,0.213976177
NVIE_000350,NVIE_RS00175,protein of unknown function,-0.18,2.17E-01,86.87,119.52,6.42,6.9,76G-FAM007604,Thaumi_prot_LH_FAM000752,N,Y,,,,,,,,,,1682.28413,0.123303808,-1.440617554,0.149692758
NVIE_000370,NVIE_RS00185,phosphopantetheine adenylyltransferase,0.04,8.61E-01,64.46,77.27,5.99,6.24,76G-FAM000449,Thaumi_prot_LH_FAM000053,N,N,,,,,,,,,,1391.009955,0.150571025,0.23897371,0.811125969
NVIE_000380,NVIE_RS00190,hypothetical protein,0.21,9.37E-02,245.67,259.85,7.93,8.02,76G-FAM002683,Thaumi_prot_LH_FAM000052,N,N,,,,,,,,,,3604.002545,0.110549386,1.909021561,0.05625931
NVIE_000390,NVIE_RS00195,hypothetical protein,-0.29,5.97E-02,29.65,44.13,4.87,5.46,76G-FAM008102,Thaumi_prot_LH_FAM001758,N,Y,,,,,,,,,,461.7619544,0.136224179,-2.123006234,0.033753329
NVIE_000400,NVIE_RS00200,tryptophan--tRNA ligase,-0.45,1.19E-08,187.02,313.28,7.55,8.29,76G-FAM000137,Thaumi_prot_LH_FAM000051,Y,N,,,,,,,,,,12089.64103,0.074551845,-6.018254608,1.76E-09
NVIE_000410,NVIE_RS00205,phenylalanine--tRNA ligase alpha chain,-0.51,1.28E-05,101.02,175.63,6.65,7.45,76G-FAM000852,Thaumi_prot_LH_FAM000050,Y,N,,,,,,,,,,8501.792,0.108992905,-4.665971378,3.07E-06
NVIE_000420,NVIE_RS00210,phenylalanine--tRNA ligase beta chain,-0.48,1.74E-04,70.97,121.26,6.13,6.92,76G-FAM000797,Thaumi_prot_LH_FAM000049,N,N,,,,,,,,,,6602.961313,0.118512033,-4.0448735,5.24E-05
NVIE_000430,NVIE_RS00215,putative thiamine biosynthesis protein,-0.24,1.09E-02,173.69,250.64,7.43,7.97,76G-FAM003181,Thaumi_prot_LH_FAM000829,N,N,,,,,,,,,,9224.619295,0.084515935,-2.809021862,0.004969227
NVIE_000440,NVIE_RS00220,putative SepF homologue,0.52,1.94E-05,384.14,327.77,8.57,8.35,76G-FAM002726,Thaumi_prot_LH_FAM000828,Y,N,,,,,,,,,,4443.396876,0.112730925,4.570401848,4.87E-06
NVIE_000450,NVIE_RS00225,Putative beta-lactamase domain-containing metal-dependent RNase,-0.31,2.57E-02,146.41,224.02,7.18,7.79,76G-FAM000321,Thaumi_prot_LH_FAM000855,Y,N,,,,,,,,,,14575.06417,0.126619279,-2.480590128,0.01311651
NVIE_000460,NVIE_RS00230,putative deoxyribonuclease/rho motif-related TRAM-domain containing protein,0.14,7.49E-01,335.78,373.99,8.29,8.49,76G-FAM002411,Thaumi_prot_LH_FAM001622,N,N,,,,,,,,,,4702.153023,0.320170942,0.422909517,0.672361279
NVIE_000470,NVIE_RS00235,glycerol-1-phosphate dehydrogenase,0.09,5.99E-01,261.9,302.48,8.01,8.23,76G-FAM000413,Thaumi_prot_LH_FAM000856,N,N,,,,,,,,,,12700.09154,0.1334052,0.66011464,0.509180265
NVIE_000480,NVIE_RS00240,putative cyclase/dehydrase,0.03,8.97E-01,21.44,25.67,4.41,4.67,76G-FAM010684,Thaumi_prot_LH_FAM003042,N,Y,,,,,,,,,,434.788175,0.153326556,0.180762359,0.856554109
NVIE_t0010,NVIE_RS00245,tRNA-Cys,-0.69,1.60E-01,4.55,8.92,2.02,3.12,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,24.74568653,0.423449911,-1.626918405,0.103754428
NVIE_000490,NVIE_RS00250,hypothetical protein,-0.29,7.43E-03,32.46,48.8,5.01,5.61,76G-FAM000101,Thaumi_prot_LH_FAM001910,N,N,,,,,,,,,,988.3438707,0.099815151,-2.941150685,0.003269954
NVIE_000500,NVIE_RS00255,putative translation elongation factor EF Tu-like protein,-0.39,1.11E-03,166.68,268.65,7.37,8.07,76G-FAM007514,Thaumi_prot_LH_FAM000760,N,Y,,,,,,,,,,8394.042195,0.110196112,-3.543970888,0.000394149
NVIE_000510,NVIE_RS00260,protein of unknown function,0,9.71E-01,124.37,151.62,6.95,7.24,76G-FAM009984,Thaumi_prot_LH_FAM003471,N,Y,,,,,,,,,,3060.68941,0.085234323,0.050999246,0.959326121
NVIE_000520,NVIE_RS00265,hypothetical protein,0.37,2.82E-02,34.44,32.57,5.07,5.02,76G-FAM002578,Thaumi_prot_LH_FAM001193,N,N,,,,,,,,,,415.473555,0.149357463,2.445138066,0.01447967
NVIE_000530,NVIE_RS00270,putative copper-containing nitrite reductase,0.4,7.16E-05,15688.3,14589.11,13.93,13.83,76G-FAM009983,Thaumi_prot_LH_FAM002621,N,Y,,,,,,,,,,734545.4663,0.09314513,4.265930045,1.99E-05
NVIE_000540,NVIE_RS00275,ammonia monooxygenase subunit C,-0.9,5.04E-15,810.36,1856.63,9.65,10.85,76G-FAM007583,Thaumi_prot_LH_FAM000259,N,Y,,,,,,,,,,30506.83076,0.110396121,-8.154625312,3.50E-16
NVIE_000550,NVIE_RS00280,hypothetical protein,-0.99,2.32E-15,105,255.61,6.7,7.99,76G-FAM009982,Thaumi_prot_LH_FAM003041,N,Y,,,,,,,,,,1724.356536,0.119966355,-8.254144648,1.53E-16
NVIE_000560,NVIE_RS00285,hypothetical protein,-0.74,7.81E-08,50.72,103.76,5.65,6.69,76G-FAM009981,Thaumi_prot_LH_FAM003040,N,Y,,,,,,,,,,785.5930002,0.130425747,-5.682055093,1.33E-08
NVIE_000570,NVIE_RS00290,protein of unknown function,0.23,3.89E-02,625.64,654.67,9.29,9.35,76G-FAM009980,Thaumi_prot_LH_FAM003039,N,Y,,,,,,,,,,29225.73103,0.100029982,2.310700225,0.020849419
NVIE_000590,NVIE_RS00295,putative Zinc/iron permease,1.35,1.64E-17,134.92,65.17,7.05,6,76G-FAM007716,Thaumi_prot_LH_FAM000877,N,Y,,,,,,,,,,5504.641775,0.152319101,8.852740623,8.54E-19
NVIE_000600,NVIE_RS00300,multicopper oxidase type 3,1.28,9.46E-31,112.94,57.12,6.81,5.84,76G-FAM003386,Thaumi_prot_LH_FAM000878,N,N,,,,,,,,,,3839.191109,0.108135917,11.84582984,2.26E-32
NVIE_000610,NVIE_RS00305,putative protein of unknown function DUF309,0.48,1.09E-03,42.94,37.86,5.42,5.22,76G-FAM001469,Thaumi_prot_LH_FAM000281,N,N,,,,,,,,,,988.0942775,0.136412046,3.549628232,0.000385776
NVIE_000620,NVIE_RS00310,hypothetical protein,0.24,1.25E-01,116.21,121.45,6.84,6.92,76G-FAM009978,Thaumi_prot_LH_FAM003037,N,Y,,,,,,,,,,6731.025691,0.135254123,1.762060195,0.078059128
NVIE_000630,NVIE_RS00315,ribose-phosphate pyrophosphokinase,-0.4,5.22E-03,184.09,296.57,7.5,8.2,76G-FAM000042,Thaumi_prot_LH_FAM001063,N,N,,,,,,,,,,8788.162426,0.129483774,-3.06308839,0.002190653
NVIE_000640,NVIE_RS00320,ribonuclease Z,-0.28,1.83E-02,66.62,99.62,6.05,6.64,76G-FAM000040,Thaumi_prot_LH_FAM001061,Y,N,,,,,,,,,,3193.905384,0.107599196,-2.616998368,0.008870677
NVIE_000650,NVIE_RS00325,putative serine/threonine-protein phosphatase,0.49,4.19E-04,52.26,45.91,5.69,5.51,76G-FAM000942,Thaumi_prot_LH_FAM001678,N,Y,,,,,,,,,,1955.38526,0.1277647,3.812269449,0.000137697
NVIE_000660,NVIE_RS00330,protein of unknown function,-0.52,1.70E-02,8.87,15.4,3.1,3.93,76G-FAM009977,Thaumi_prot_LH_FAM003035,N,Y,,,,,,,,,,177.1672262,0.195249258,-2.644742176,0.008175318
NVIE_000670,NVIE_RS00335,50S ribosomal protein L32e,-0.4,2.70E-04,1358.18,2186.27,10.39,11.09,76G-FAM000617,Thaumi_prot_LH_FAM000215,N,N,,,,,,,,,,30875.68814,0.101612013,-3.930308455,8.48E-05
NVIE_000680,NVIE_RS00340,50S ribosomal protein L19e,-0.35,5.97E-03,1086.61,1699.55,10.08,10.71,76G-FAM000581,Thaumi_prot_LH_FAM000216,Y,N,,,,,,,,,,25839.90599,0.115269109,-3.015785234,0.002563147
NVIE_000690,NVIE_RS00345,putative methylated-DNA--protein-cysteine methyltransferase,0.65,1.60E-03,26.33,20.47,4.67,4.34,76G-FAM003498,Thaumi_prot_LH_FAM000217,Y,N,,,,,,,,,,352.8307227,0.189029595,3.438231415,0.000585527
NVIE_000700,NVIE_RS00350,putative D-tyrosyl-tRNA(Tyr) deacylase,-0.11,5.88E-01,22.4,29.82,4.47,4.87,76G-FAM000409,Thaumi_prot_LH_FAM000218,Y,N,,,,,,,,,,890.8811923,0.159910691,-0.68268806,0.494803976
NVIE_000720,NVIE_RS00360,putative siroheme synthase,-0.38,1.07E-03,92.08,145.62,6.51,7.19,76G-FAM003631,Thaumi_prot_LH_FAM000772,N,N,,,,,,,,,,3278.089644,0.106351885,-3.55259821,0.000381447
NVIE_000730,NVIE_RS00365,glutamyl-tRNA reductase,-0.34,2.60E-03,192.74,299.53,7.58,8.23,76G-FAM004905,Thaumi_prot_LH_FAM000771,Y,N,,,,,,,,,,13493.81019,0.104460877,-3.288482357,0.001007291
NVIE_000740,NVIE_RS00370,delta-aminolevulinic acid dehydratase,-0.02,9.15E-01,174.04,217.05,7.41,7.75,76G-FAM001989,Thaumi_prot_LH_FAM000770,Y,N,,,,,,,,,,8232.363804,0.149336268,-0.151082301,0.879910794
NVIE_000750,NVIE_RS00375,hypothetical protein,-0.69,2.01E-07,26.21,51.32,4.69,5.68,76G-FAM007916,Thaumi_prot_LH_FAM000611,Y,Y,,,,,,,,,,982.2286851,0.124605372,-5.506658012,3.66E-08
NVIE_t0020,NVIE_RS00380,tRNA-Gly,-1.35,2.99E-05,26,79.62,4.5,6.29,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,164.3373297,0.302060006,-4.470116852,7.82E-06
NVIE_000760,NVIE_RS00385,protein of unknown function,-0.08,6.59E-01,105.03,135.46,6.68,7.08,76G-FAM035131,Thaumi_prot_LH_FAM008420,N,Y,,,,,,,,,,2089.013488,0.137323381,-0.563043919,0.573404978
NVIE_000770,NVIE_RS00390,protein of unknown function,0.31,9.96E-02,24.97,24.61,4.6,4.61,76G-FAM035132,Thaumi_prot_LH_FAM008421,N,Y,,,,,,,,,,818.6976921,0.165495413,1.879372628,0.060193631
NVIE_000780,NVIE_RS00395,protein of unknown function,-0.28,2.02E-01,25.51,37.67,4.6,5.23,76G-FAM035133,Thaumi_prot_LH_FAM008422,N,Y,,,,,,,,,,422.4858919,0.190958004,-1.489174941,0.136441308
NVIE_000790,NVIE_RS00400,protein of unknown function,0.1,7.24E-01,41.53,46.73,5.28,5.54,76G-FAM035134,Thaumi_prot_LH_FAM008423,N,Y,,,,,,,,,,591.644372,0.21117119,0.463705691,0.642858619
NVIE_000810,NVIE_RS00405,hypothetical protein,-0.42,1.50E-03,23.04,37.63,4.51,5.23,76G-FAM008484,Thaumi_prot_LH_FAM000603,N,Y,,,,,,,,,,632.0367651,0.120750939,-3.455819317,0.000548623
NVIE_000840,NVIE_RS00415,hypothetical protein,1.05,6.43E-31,876.45,522.53,9.77,9.03,76G-FAM007397,Thaumi_prot_LH_FAM001281,N,Y,,,,,,,,,,49524.15086,0.0879969,11.87925208,1.52E-32
NVIE_000850,NVIE_RS00420,hypothetical protein,1.01,6.18E-14,1674.53,1025.11,10.7,10,76G-FAM009453,Thaumi_prot_LH_FAM001280,N,Y,,,,,,,,,,37384.7773,0.128895589,7.834589241,4.70E-15
NVIE_000880,NVIE_RS00430,putative glycosyl transferase family 2,0.11,3.44E-01,327.68,372.98,8.35,8.53,76G-FAM001402,Thaumi_prot_LH_FAM000600,N,N,,,,,,,,,,30929.51426,0.099931055,1.136508889,0.255743648
NVIE_000900,NVIE_RS00440,putative pyruvate dehydrogenase/ pyruvate oxidase,0.8,8.25E-07,165.19,117.19,7.34,6.86,76G-FAM003691,Thaumi_prot_LH_FAM003099,N,N,,,,,,,,,,10833.69781,0.1532749,5.236473866,1.64E-07
NVIE_000920,NVIE_RS00450,putative transcriptional regulator TrmB,-0.05,8.13E-01,66.31,84.32,6.04,6.35,76G-FAM009986,Thaumi_prot_LH_FAM003472,N,Y,,,,,,,,,,5250.212621,0.164607267,-0.317584528,0.750800112
NVIE_000930,NVIE_RS00455,putative peptidase M10A,0.78,1.04E-01,104.59,75.32,6.7,6,76G-FAM009987,Thaumi_prot_LH_FAM003473,N,Y,,,,,,,,,,2587.99279,0.417378653,1.85762247,0.063222645
NVIE_000940,NVIE_RS00460,cell surface protein with DUF11 domain,5.88,2.17E-287,2255.24,47.01,11.12,5.53,76G-FAM009988,Thaumi_prot_LH_FAM003474,N,Y,,,,,,,,,,62769.57837,0.161399617,36.40608675,3.41E-290
NVIE_000950,NVIE_RS00465,hypothetical protein with HTH ARSR and V4R signature,2.42,4.25E-61,563.73,128.97,9.12,6.99,76G-FAM009989,Thaumi_prot_LH_FAM002725,N,Y,,,,,,,,,,12382.87439,0.144133398,16.786254,3.08E-63
NVIE_000960,NVIE_RS00470,protein of unknown function,0.87,8.24E-06,71.96,47.77,6.12,5.56,76G-FAM009990,Thaumi_prot_LH_FAM003475,N,Y,,,,,,,,,,493.2261456,0.183473116,4.759510963,1.94E-06
NVIE_000970,NVIE_RS00475,hypothetical protein,4.41,9.44E-213,28590.26,1651.89,14.78,10.68,76G-FAM007625,Thaumi_prot_LH_FAM002293,N,Y,,,,,,,,,,399056.2951,0.140613648,31.33072218,1.78E-215
NVIE_000980,NVIE_RS00480,protein of unknown function,0.27,6.21E-02,106.15,108.22,6.73,6.75,76G-FAM009991,Thaumi_prot_LH_FAM003476,N,Y,,,,,,,,,,2017.036036,0.126863634,2.104967128,0.03529417
NVIE_000990,NVIE_RS00485,hypothetical protein,3.36,1.25E-139,2405.08,287.42,11.22,8.16,76G-FAM009110,Thaumi_prot_LH_FAM002293,N,Y,,,,,,,,,,36498.55549,0.132431113,25.38266532,3.92E-142
NVIE_001000,NVIE_RS00490,"putative surface-associated Ca2+-binding protein, Haemolysin-type",4.98,1.37E-168,1271.31,49.75,10.29,5.6,76G-FAM009992,Thaumi_prot_LH_FAM003477,N,Y,,,,,,,,,,123899.1956,0.178437161,27.895529,3.02E-171
NVIE_001010,NVIE_RS00495,"putative surface-associated Ca2+-binding protein, Haemolysin-type",1.64,9.84E-25,240.21,95.29,7.88,6.55,76G-FAM009993,Thaumi_prot_LH_FAM003478,N,Y,,,,,,,,,,14881.49976,0.154657929,10.60426971,2.85E-26
NVIE_001020,NVIE_RS00500,putative cell wall surface anchor family protein,5.22,0.00E+00,805.87,26.75,9.64,4.73,76G-FAM009994,Thaumi_prot_LH_FAM003479,N,Y,,,,,,,,,,235673.5438,0.13178318,39.57378214,0
NVIE_001030,NVIE_RS00505,protein of unknown function,2.06,1.16E-57,207.9,61.19,7.68,5.93,76G-FAM009995,Thaumi_prot_LH_FAM003480,N,Y,,,,,,,,,,3476.148072,0.126513935,16.30460522,9.15E-60
NVIE_001040,NVIE_RS00510,"putative membrane associated signal transduction histidine kinase, with phosphoacceptor and ATP binding domain",0.59,4.01E-08,361.9,296.56,8.5,8.21,76G-FAM009996,Thaumi_prot_LH_FAM002723,N,Y,,,,,,,,,,24996.24816,0.101222103,5.804677664,6.45E-09
