Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein Family LH,AOA conserved,AOA exclusive,"Conserved NV,NF,NM",Conserved in Soil Strains,up in:,,,,,,,,,baseMean,lfcSE,stat,pvalue
NMAR_RS00005,Nmar_0001,AAA family ATPase,0.08,0.627000155,156.2554841,211.6881334,7.26,7.720643642,76G-FAM000592,Thaumi_prot_LH_FAM001038,N,N,,,,,,,,,,,,4144.096284,0.107788969,0.723108999,0.469612921
NMAR_RS00010,Nmar_0002,DNA-directed DNA polymerase II small subunit,0.25,0.192943237,21.66045485,24.24005336,4.35,4.586407664,76G-FAM000593,Thaumi_prot_LH_FAM001039,N,N,,,,,,,,,,,,499.6668813,0.148278547,1.694875709,0.090099001
NMAR_RS00015,Nmar_0003,stage II sporulation protein M,0.17,0.632122409,17.14768867,19.76139718,4.03,4.290269747,76G-FAM000810,Thaumi_prot_LH_FAM001040,Y,Y,,,,,,,,,,,,148.3035017,0.235953595,0.71323911,0.475697809
NMAR_RS00020,Nmar_0004,hypothetical protein,-0.56,0.010295841,63.16485729,135.6899118,5.97,7.059777298,76G-FAM008521,Thaumi_prot_LH_FAM001813,N,Y,,,,,,,,,,,,1731.235768,0.185657502,-3.038808413,0.002375158
NMAR_RS00025,Nmar_0005,"precorrin-6y C5,15-methyltransferase (decarboxylating) subunit CbiE",-0.46,0.351736748,8.310924769,11.6123517,2.62,3.503472972,76G-FAM007474,Thaumi_prot_LH_FAM001041,N,Y,,,,,,,,,,,,117.2846232,0.358273931,-1.285645434,0.198566833
NMAR_RS00030,Nmar_0006,hypothetical protein,-2.53,0.041364308,0.94618173,2.312126839,#NUM!,1.155546362,76G-FAM007547,Thaumi_prot_LH_FAM001042,N,Y,,,,,,,,,,,,7.799244608,1.018273116,-2.483152389,0.013022536
NMAR_RS00035,Nmar_0007,peptidylprolyl isomerase,-0.6,1.12E-05,28.47974582,58.01240498,4.8,5.853621332,76G-FAM008160,Thaumi_prot_LH_FAM001043,N,Y,,,,,,,,,,,,1158.26496,0.122623019,-4.869472519,1.12E-06
NMAR_RS00040,Nmar_0008,NAD(P)/FAD-dependent oxidoreductase,0.92,2.89E-10,26.03254353,18.0580331,4.62,4.163444224,76G-FAM008161,Thaumi_prot_LH_FAM001044,N,Y,,,,,,,,,,,,557.7117556,0.136576745,6.737257814,1.61E-11
NMAR_RS00045,Nmar_0009,ACT domain-containing protein,1.25,8.80E-30,208.5901975,123.62581,7.66,6.940447105,76G-FAM004849,Thaumi_prot_LH_FAM001045,N,N,,,,,,,,,,,,2112.156181,0.106718389,11.66906461,1.83E-31
NMAR_RS00050,Nmar_0010,archaeal heat shock protein Hsp20,2.34,2.70E-45,703.3261119,194.8790613,9.4,7.569856662,76G-FAM000963_0,Thaumi_prot_LH_FAM001046,Y,N,,,,,,,,,,,,4383.495952,0.162351405,14.4312338,3.29E-47
NMAR_RS00055,Nmar_0011,CDC48 family AAA ATPase,2.62,1.02E-85,399.7046182,91.40564535,8.6,6.499896118,76G-FAM000165_0,Thaumi_prot_LH_FAM000348_0,Y,N,,,,,,,,,,,,10413.35673,0.13150213,19.91367472,3.10E-88
NMAR_RS00060,0,hypothetical protein,1.59,2.38E-12,128.1387802,62.84762797,6.91,5.92621018,#N/A,Thaumi_prot_LH_FAM001627,#N/A,#N/A,,,,,,,,,,,,377.1845703,0.213655961,7.429564064,1.09E-13
NMAR_RS00065,Nmar_0012,hypothetical protein,0.75,0.000641659,48.62337349,34.95331043,5.56,5.083640016,76G-FAM008522,Thaumi_prot_LH_FAM001814,N,Y,,,,,,,,,,,,279.0522749,0.192022451,3.894657821,9.83E-05
NMAR_RS00070,Nmar_0013,transcription initiation factor TFIIB,2.44,1.00E-79,1348.648698,354.563525,10.36,8.458193488,76G-FAM000279_0,Thaumi_prot_LH_FAM000723_0,Y,N,,,,,,,,,,,,15571.65491,0.127071855,19.2020041,3.56E-82
NMAR_RS00075,Nmar_0014,hypothetical protein,-0.78,0.100383773,13.28679789,33.06454286,3.68,4.91575481,76G-FAM004520_0,Thaumi_prot_LH_FAM000922,N,N,,,,,,,,,,,,80.56677727,0.377626672,-2.066661182,0.038766091
NMAR_RS00080,Nmar_0015,fluoride efflux transporter CrcB,-0.98,0.138862092,2.388102062,5.737788152,0.98,2.48760082,76G-FAM003506,Thaumi_prot_LH_FAM001698,N,N,,,,,,,,,,,,23.4031654,0.521725409,-1.886706261,0.059199845
NMAR_RS00085,Nmar_0016,hypothetical protein,-1.04,0.086458423,3.471710455,4.68938744,1.2,2.081259453,76G-FAM008523,Thaumi_prot_LH_FAM001815,N,Y,,,,,,,,,,,,34.90668694,0.48483801,-2.140256486,0.032334044
NMAR_RS00090,Nmar_0017,hypothetical protein,-0.78,0.017202731,8.221770732,17.41312196,2.97,4.112451585,76G-FAM008164,Thaumi_prot_LH_FAM001816,N,Y,,,,,,,,,,,,89.15280204,0.275592688,-2.844416567,0.004449284
