Geneid	Chr	Start	End	Strand	Length	./Nvie_BF1_mRNA_sorted.bam	./Nvie_BF2_mRNA_sorted.bam	./Nvie_BF3_mRNA_sorted.bam	./Nvie_BF4_mRNA_sorted.bam	./Nvie_BF5_mRNA_sorted.bam	./Nvie_ctrl1_mRNA_sorted.bam	./Nvie_ctrl2_mRNA_sorted.bam	./Nvie_ctrl3_mRNA_sorted.bam	./Nvie_ctrl4_mRNA_sorted.bam	./Nvie_ctrl5_mRNA_sorted.bam
NVIE_000010	CP007536.1	3	1442	+	1440	13238	24991	20920	14609	19557	19927	18411	20724	19449	14773
NVIE_000020	CP007536.1	1439	1834	+	396	2783	3605	3740	2657	3534	3866	3862	3904	3276	2706
NVIE_000030	CP007536.1	1831	2433	-	603	1115	1648	1629	1235	1995	3080	2744	2935	2114	2201
NVIE_0004	CP007536.1	2528	2956	+	429	40	40	60	110	85	60	52	26	8	26
NVIE_000040	CP007536.1	3375	3773	+	399	498	959	756	827	984	1376	1480	1500	1013	961
NVIE_000050	CP007536.1	4145	5557	+	1413	60781	87345	83588	66155	90198	75342	68182	70621	53526	48680
NVIE_000060	CP007536.1	5567	6820	-	1254	6480	9302	7192	5733	10037	14658	11468	13503	13382	10595
NVIE_000070	CP007536.1	6912	7388	+	477	2987	3916	3510	2583	4358	6149	5332	5507	4299	3554
NVIE_000080	CP007536.1	7417	7710	-	294	4138	7406	4318	4630	5629	13897	14700	14518	9639	9579
NVIE_000090	CP007536.1	7765	8532	+	768	5863	7267	7148	4708	7515	14826	13712	11024	9657	8888
NVIE_000100	CP007536.1	8578	10092	+	1515	7985	12479	10736	8413	12364	19455	18088	16511	14610	11777
NVIE_000110	CP007536.1	10142	10774	+	633	4860	7575	5554	2843	3795	2916	3195	2725	2666	2527
NVIE_000120	CP007536.1	10768	11598	-	831	4269	5130	4630	3332	4503	6452	6354	5613	5194	4404
NVIE_000130	CP007536.1	11961	12896	+	936	3556	4917	4283	3206	4715	8108	6085	6345	5725	5793
NVIE_000140	CP007536.1	12964	13920	+	957	9636	11620	11881	6620	10291	14212	11078	10888	14334	8278
NVIE_000150	CP007536.1	13959	15143	+	1185	3730	5493	3872	2505	3488	4391	4973	4206	5674	3480
NVIE_000160	CP007536.1	15152	16015	-	864	4159	5983	4870	3857	5931	10597	8046	9334	7119	7235
NVIE_000170	CP007536.1	16338	17015	+	678	332	621	462	543	550	546	632	669	473	386
NVIE_000180	CP007536.1	17029	17385	+	357	100	174	205	129	233	140	307	291	208	198
NVIE_000190	CP007536.1	17514	18347	+	834	4786	6469	6638	5455	6661	7584	6300	6685	5613	5125
NVIE_000200	CP007536.1	18385	18855	-	471	6636	7191	5595	7568	8016	13518	12144	13617	14715	9689
NVIE_0022	CP007536.1	18834	19301	-	468	4166	5723	4333	4961	6087	9866	7621	10190	7621	6400
NVIE_000210	CP007536.1	19294	19644	-	351	7185	8216	7230	7393	8581	16055	12946	15174	11973	10188
NVIE_000220	CP007536.1	19704	20360	-	657	15089	22943	19470	13783	20978	29863	25911	28630	28792	20295
